                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1337,                 3.5332,                 1.4318,                0.22578,                0.32004,                0.24447,                0.16636,                0.93314,                 2.7401,                  1.687,               0.070138,               0.003318,               0.003318
                      2,                0.85745,                 2.5908,                 1.2382,                 0.4656,                0.49947,                0.55285,                0.35819,                0.97312,                 2.2031,                 1.5586,               0.040094,              0.0066074,              0.0066074
                      3,                0.90906,                 2.2692,                 1.2359,                0.48018,                0.62389,                0.64032,                0.51615,                0.64643,                 2.0537,                 1.1109,               0.010006,              0.0098528,              0.0098528
                      4,                0.91289,                 2.1088,                 1.2278,                0.79362,                0.72481,                0.86023,                 0.7429,                0.56416,                  1.287,                0.99594,               0.009802,               0.009802,               0.009802
                      5,                0.91033,                 1.9477,                 1.2188,                0.73476,                0.73917,                0.87505,                0.73814,                0.58902,                 1.3304,                0.96632,               0.009736,               0.009736,               0.009736
                      6,                0.87869,                 1.8038,                   1.19,                0.70506,                0.84254,                0.89647,                0.78133,                0.52238,                0.95704,                0.97231,                0.00967,                0.00967,                0.00967
                      7,                0.88887,                 1.6969,                 1.1926,                0.90679,                0.84781,                0.93546,                0.80978,                0.54191,                0.84196,                0.99099,               0.009604,               0.009604,               0.009604
                      8,                0.83325,                 1.5635,                 1.1599,                0.80243,                0.80899,                0.89476,                0.73444,                0.67286,                 1.0407,                 1.0551,               0.009538,               0.009538,               0.009538
                      9,                0.81726,                 1.5044,                 1.1526,                0.83278,                0.83341,                 0.9118,                0.80659,                0.54631,                0.88592,                0.97334,               0.009472,               0.009472,               0.009472
                     10,                0.83431,                 1.4325,                 1.1616,                0.88797,                0.84191,                0.93521,                0.82803,                 0.5113,                0.84905,                0.97071,               0.009406,               0.009406,               0.009406
                     11,                0.79995,                 1.3768,                  1.142,                 0.9167,                0.85184,                0.94563,                0.83233,                0.49212,                0.74561,                0.93825,                0.00934,                0.00934,                0.00934
                     12,                0.76564,                 1.3262,                  1.128,                0.81619,                0.73009,                0.89734,                0.81235,                0.45641,                0.86335,                0.94739,               0.009274,               0.009274,               0.009274
                     13,                0.78078,                 1.2839,                 1.1309,                0.89056,                0.84399,                0.93127,                0.82114,                0.51975,                0.76728,                0.97097,               0.009208,               0.009208,               0.009208
                     14,                0.77154,                 1.2529,                 1.1195,                0.79655,                0.77453,                0.87312,                0.65605,                0.98078,                 1.1197,                 1.3823,               0.009142,               0.009142,               0.009142
                     15,                0.76766,                 1.2159,                 1.1305,                0.88998,                0.87416,                0.95636,                0.86129,                0.45569,                 0.6461,                0.93636,               0.009076,               0.009076,               0.009076
                     16,                0.75595,                 1.2235,                 1.1199,                 0.8955,                0.89088,                 0.9604,                0.84012,                0.50475,                0.66859,                0.94191,                0.00901,                0.00901,                0.00901
                     17,                0.73561,                 1.1451,                 1.1114,                0.93671,                 0.9277,                0.97092,                0.86584,                 0.4809,                0.54068,                0.97012,               0.008944,               0.008944,               0.008944
                     18,                0.75115,                   1.15,                 1.1223,                0.91972,                0.88828,                0.95372,                0.85078,                0.48174,                0.61654,                0.95619,               0.008878,               0.008878,               0.008878
                     19,                0.73567,                 1.1291,                  1.105,                0.95763,                0.88915,                 0.9608,                0.87078,                0.44599,                0.57104,                0.91402,               0.008812,               0.008812,               0.008812
                     20,                0.75085,                 1.1138,                 1.1056,                0.91953,                0.91235,                0.96276,                0.87013,                0.45193,                0.53833,                0.92631,               0.008746,               0.008746,               0.008746
                     21,                0.71205,                 1.0757,                 1.0894,                0.90404,                0.82909,                0.95297,                0.86036,                0.45023,                0.63434,                0.93669,                0.00868,                0.00868,                0.00868
                     22,                0.72212,                 1.0643,                 1.1026,                0.95864,                0.92205,                0.97664,                0.88212,                 0.4502,                  0.514,                0.91377,               0.008614,               0.008614,               0.008614
                     23,                0.71075,                 1.0326,                 1.0988,                0.90712,                 0.9014,                0.96691,                0.88538,                0.42319,                0.57668,                0.90503,               0.008548,               0.008548,               0.008548
                     24,                0.70253,                 1.0813,                  1.101,                0.93839,                 0.9283,                 0.9774,                0.88482,                0.42379,                0.48038,                0.90374,               0.008482,               0.008482,               0.008482
                     25,                0.69414,                0.99719,                  1.084,                0.88043,                0.93698,                0.97684,                0.89935,                0.40876,                0.52635,                0.89073,               0.008416,               0.008416,               0.008416
                     26,                0.69686,                0.99831,                  1.093,                0.92107,                0.94277,                0.97473,                 0.9077,                0.37839,                 0.4748,                0.87789,                0.00835,                0.00835,                0.00835
                     27,                0.65929,                0.96759,                 1.0661,                0.94151,                0.93386,                0.97303,                0.89966,                0.39642,                0.47403,                0.88068,               0.008284,               0.008284,               0.008284
                     28,                 0.6977,                0.95925,                 1.0838,                0.93717,                 0.9336,                0.97027,                0.88695,                0.44039,                0.51786,                0.90535,               0.008218,               0.008218,               0.008218
                     29,                0.66827,                0.96558,                 1.0798,                0.94696,                0.91237,                0.96871,                0.90505,                 0.3996,                0.47367,                 0.8858,               0.008152,               0.008152,               0.008152
                     30,                0.68325,                0.95838,                 1.0784,                0.89678,                0.85542,                0.92646,                0.80015,                0.59953,                0.68987,                 1.0421,               0.008086,               0.008086,               0.008086
                     31,                0.70091,                0.95884,                 1.0867,                0.94984,                0.92165,                0.97648,                0.89149,                0.41079,                0.46444,                0.88894,                0.00802,                0.00802,                0.00802
                     32,                0.67184,                0.95502,                 1.0771,                0.96413,                0.91405,                0.97849,                0.91623,                0.37697,                0.43752,                0.87538,               0.007954,               0.007954,               0.007954
                     33,                0.65644,                0.92205,                 1.0699,                0.96283,                0.95813,                0.98713,                0.91989,                0.38971,                0.37755,                0.88664,               0.007888,               0.007888,               0.007888
                     34,                0.65744,                0.91696,                 1.0683,                0.95782,                0.93969,                0.98212,                0.91297,                0.38705,                0.38911,                0.88085,               0.007822,               0.007822,               0.007822
                     35,                0.65258,                0.89947,                 1.0582,                 0.9515,                0.96015,                 0.9822,                0.91365,                0.38014,                  0.389,                0.88187,               0.007756,               0.007756,               0.007756
                     36,                 0.6467,                0.86982,                 1.0626,                 0.9699,                0.94964,                0.97808,                  0.903,                0.40556,                0.39902,                 0.8894,                0.00769,                0.00769,                0.00769
                     37,                0.65097,                 0.8942,                 1.0615,                0.96788,                0.94802,                0.98024,                0.90359,                0.39445,                0.41285,                0.87609,               0.007624,               0.007624,               0.007624
                     38,                0.62671,                0.85399,                 1.0453,                0.95653,                0.94981,                0.98214,                0.92015,                 0.3793,                0.38498,                0.86366,               0.007558,               0.007558,               0.007558
                     39,                0.63103,                0.87085,                 1.0522,                0.97279,                0.94617,                0.97895,                0.91002,                0.39797,                0.38298,                0.88476,               0.007492,               0.007492,               0.007492
                     40,                0.66247,                0.88624,                  1.065,                0.95075,                0.90164,                0.97251,                0.90493,                0.38436,                 0.4563,                0.88495,               0.007426,               0.007426,               0.007426
                     41,                0.62743,                0.83951,                 1.0574,                0.94931,                 0.9652,                0.97599,                0.90155,                0.37271,                0.38472,                0.88072,                0.00736,                0.00736,                0.00736
                     42,                0.65131,                0.84453,                 1.0757,                0.97932,                 0.9522,                 0.9806,                0.91648,                0.37304,                0.35719,                 0.8725,               0.007294,               0.007294,               0.007294
                     43,                0.62367,                0.81912,                  1.047,                 0.9847,                0.95188,                0.98704,                0.91677,                0.40268,                0.37115,                0.89289,               0.007228,               0.007228,               0.007228
